,brand,category,color,features,price,sales_rank,title
B0000DDVN4,L'EQUIP,centrifugal,Gray,"['480-watt mini juicer for making healthy, freshly squeezed juice', 'Universal motor generates speeds up to 10,000 RPMs for fast, efficient results', 'Patented pulp-ejection system eliminates clogging; food chute with pusher', 'High-quality stainless-steel bowl, blade, and basket; dispensing spout', 'Measures 7-1/2 by 13-1/2 by 11-1/2 inches; Warranty: 3 years for blades & 10 years for parts']",$108.80,239897,"L'Equip 306150 480 Watts Mini Pulp Ejection Juicer, Gray"
B0000DDVUO,Waring,centrifugal,Quite White,"['Professional juice extractor with 550-watt vibration-free induction motor', 'Stainless-steel blade and centrifugal force separate juice from pulp', 'Internal mechanisms made of commercial-quality stainless steel', 'Polycarbonate housing; dishwasher-safe parts; instructions/recipes included', 'Measures 9-1/4 by 9-1/4 by 12 inches; 5-year limited motor warranty']",$300.00,802291,"Acme 5001 Juicerator 550-Watt Juice Extractor, Quite White"
B0000VLI5K,Cuisinart,citrus,Brushed stainless steel,"['Stainless steel design', 'Adjustable reamer with 3 pulp control settings: low, medium and high', 'Auto-reversing universal juicer cone for more efficient juicing', 'Final spin feature extracts more juice from pulp', 'Extra long snap up spout accommodates more glasses and prevents dripping']",$29.95,123515,"Cuisinart Ccj-500 Pulp Control Citrus Juicer, Stainless Steel"
B0000ZP3MA,Tribest,masticating,White,"['Automatic pulp ejection for continuous juicing and easier clean-up', 'Easily juices most fruits, herbs & vegetables and grinds nuts & grains', 'Works as a food mill for preparation of baby foods, sorbets and nut butters', 'Easy to clean and assemble', ""Portable with balanced 'sure grip' handle for easy carrying"", '110V Model', 'Automatic pulp ejection for continuous juicing and easier clean-up', 'Easily juices most fruits, herbs & vegetables and grinds nuts & grains', 'Works as a food mill for preparation of baby foods, sorbets and nut butters', 'Easy to clean and assemble', 'Portable with balanced sure grip handle for easy carrying']",$429.99,214086,Tribest Green Star GS-1000 Juice Extractor
B0000ZP3MK,Tribest,masticating,White,"['110V GS-1000 Model with deluxe set of juicing and food processing attachments', 'Automatic pulp ejection for continuous juicing and easier clean-up', 'Easily juices most fruits, herbs & vegetables and grinds nuts & grains', 'Works as a food mill for preparation of baby foods, sorbets and nut butters', 'Easy to clean and assemble', '2 pasta settings: fettuccini, spaghetti']",$479.00,347778,Tribest Green Star GS-3000 Deluxe Twin Gear Juice Extractor
B00015NMWC,Hamilton Beach,centrifugal,Blue,"['Exceptionally quiet motor to ensure customers are not disturbed', 'Three reinforced reamers; designed for lemons, limes, oranges, and grapefruit', 'Extra-tall spout to suit a variety of containers', 'Crescent-shaped footprint for low center of gravity', 'Strainer, bowl and reamers removable for easy cleaning', 'Commercial electric juicer with exceptionally quiet 3 amp motor', '3 reinforced reamers; crescent-shaped footprint accommodates any container', 'Low center of gravity; sealed push-button on/off switch; easy-to-clean open spout', 'Cast-aluminum housing with acid-resistant base finish; stainless-steel container included', 'Measures 10-1/4 by 10 by 18-1/2 inches; 2-year limited warranty']",$326.81,117845,"Hamilton Beach 96700 Commercial Electric Juicer, Black"
B00016AFOE,Oster,centrifugal,White,"['Stainless steel cutter/strainer', '300 Watts of power', 'Juice directly into glass', '24 Ounce Capacity', 'Removable storage container']",$35.45,1350746,Oster 03165 Electric Juice Extractor
B0001BMZ2O,Jack LaLanne's Power Juicer,citrus,White,"[""90 days manufacturer's warranty"", 'Plastic housing', 'Surgical quality steel blade', '9 1/2"" W x 13"" D x 16 1/2"" H; Cord 5\' 11"" L', 'Accessory Kit includes: Pusher, Crescent Tool (for safe blade removal), 32 Oz. Pitcher with increments in ounces and cc, Filter Brush, Platform, Overflow Platform']",,576930,Tristar Jack LaLanne Power Juicer Machine [Kitchen]
B0001IT0IY,Breville,centrifugal,Chrome,"['Professional juice extractor adjusts to juicing load, maximizing juice extraction', '850-watts of power; juices an 8-ounce glass of juice in 5 seconds; patented micro-mesh filter', '2-speed electronic control; extra-large feed chute for juicing whole fruit and vegetables', 'All parts dishwasher safe except for motor; 1-liter juice jug and 2-1/2-liter pulp container included', '1-year warranty']",$190.00,445723,Breville JE95XL Two-Speed Juice Fountain Plus
B0001IWX2Y,Master Class,citrus,,[],$79.95,1801704,Bar Craft Deluxe Citrus Juicer
B0001LB9R6,BLACK+DECKER,centrifugal,White,"['Powerful 400-watt juice extractor produces pulp-free juice in minutes', 'Stainless-steel cutter/strainer for maximum juice extraction', 'Large 10-ounce capacity; removable pulp container; safety locking latches', 'Dishwasher-safe, removable parts; non-slip suction-cup feet; cord storage', 'Measures 6 by 9 by 12 inches; 1-year limited warranty']",$49.99,613587,Black & Decker JE1500 Fruit-and-Vegetable Juicer
B00023XDJA,Proctor Silex,citrus,White,"['Extra large 36 ounce capacity', 'Powerful auto reverse', 'Cord storage', 'Clear take to table juice pitcher', 'Removable pulp strainer']",$14.93,148927,Proctor Silex 66332 Juicit Citrus Juicer
B0002CA3TY,Hamilton Beach,centrifugal,Yellow,"['350 watts', 'Easy to remove pulp bin', 'Stainless steel cutter/strainer, see through lid safety interlock', '25 food & drink recipes', 'White']",$29.99,300496,Hamilton Beach 67800H Juice Extractor
B0002CA3U8,Hamilton Beach,centrifugal,White,"['This is a new Hamilton Beach 2 Speed Juice Extractor', 'Drink your fruits and vegetables', 'Powerful 350 Watts&2 speeds with pulse', 'Large pulp bin is easy to remove&clean', 'All-metal cutter/strainer']",$75.00,885665,Hb 2 Speed Juice Extractor
B0002ITQJQ,Salton,centrifugal,White,"['1/4 Horse Power Motor', 'Exclusive Built In Speed Control for Optimum juice Extraction', 'Large Feed Tube Allows for Faster Juicing', 'Automatic Pulp Extraction', 'Optimum Nutrition- abiltiy to juice rinds and skins which is where the greatest concentration of nutrients lie.']",,1027222,Juiceman Jr. JM1A Automatic Juice Extractor
B0002JNMEU,Oster,citrus,White,"['20-watt automatic juicer provides smooth, quiet operation', 'Reverse-action motor ensures enhanced juice extraction', 'Pulp and seed separator; 27-ounce detachable pitcher', 'Juice-level indicator; automatic on/off switch for safety; cord storage', 'Measures 6 by 8-1/4 by 9 inches; 1-year limited warranty']",$99.99,186783,"Oster 3186 Juice-n-Serve 27-Ounce Automatic Citrus Juicer, White"
B0002OKDT2,Omega,masticating,Chrome,"['Measures 14-1/2 by 6-1/2 by 15-1/2-inch; 10-year warranty.', 'Functions as juicer, food processor, pasta extruder, homogenizer, and grinder', 'High juice yield; auto pulp-ejection function for continuous juicing; reverse mode', 'Dual-stage juicing system; low speed of 80 rpms; no foaming, clogging, or heat build-up', 'Ships in Certified Frustration-Free Packaging', 'VOLTAGE: 110V']",$228.99,87416,"Omega J8005 Nutrition Center Single-Gear household Masticating Juicer, Chrome and Black"
B0002VAFVG,Breville,centrifugal,Brushed Stainless,"['1000-watt juicer with 2 speed controls, high (13,000 RPM) and low (6,500 RPM)', 'Die-cast steel housing; stainless-steel micromesh filter; titanium-plated cutting disk', 'Circular 3-inch feed tube accommodates whole fruits and vegetables', 'Pulp container, juicing pitcher, and manual/recipe book included; dishwasher-safe parts', 'Locking arm bolts move up to 1/4 in all directions to ensure a snug fit in the locking arm']",Too low to display,4626,Breville 800JEXL Juice Fountain Elite 1000-Watt Juice Extractor
B0002YSVHI,Black & Decker,centrifugal,,[],$35.00,1130721,Black & Decker JE1200 Juice Extracter w/ Stainless Steel Strainer
B00068ISRS,Juiceman,centrifugal,,[],,1378721,Juiceman Ii 1/2 Hp Juice Extractor
B0006A30HY,Maximatic,citrus,White,"['Elite Cuisine TS938X 2 Speed Power Dynamic Juice Extractor', 'Maximatic']",,1107129,ELITE JUICE EXTRACTOR GOURMET 450W JUICE EXTRACTOR
B0006DOVGU,Braun,citrus,White,"['220 Volt WILL NOT WORK IN THE UNITED STATES', '1000 ml capacity', 'Fresh juice made fast and easy', 'Citrus juicer with adjustable pulp control', 'Left and right rotation for a maximum amount of juice']",$54.99,355438,"Braun MPZ9 Multiquick 3 Citrus Juicer, 220 to 240-volt"
B0007MU2O0,Juiceman,centrifugal,Gray,"['Juice a wide variety of fruits and vegetable with your Juiceman Pro.', 'Large feed tube can fit various sizes of produce.', 'Unit features commercial quality stainless steel construction.', 'Stainless steel permanent mesh filter with titanium coated blade strains and separates pulp.', 'Best seller of all the juicers!']",$795.00,1486267,Juiceman Pro - JM418SS
B0007VVJ0W,BLACK+DECKER,citrus,White,"['28 oz Pitcher', 'Automatic self-reversing reamer', 'Strainer with automatic stirrer', 'Easy-pour spout', 'Hidden cord storage compartment']",,531729,Black & Decker HJ28 Citrus Handy Juicer
B0007W160E,Braun,citrus,White,"['Will Not Work in USA & Canada, 220-240V 50hz', '60 watts continuous feed strainer', 'Direct flow', 'Anti-drip spout', 'Easy to clean, Plastic Dust Cover to protect the juicing cone']",$58.66,523484,"Overseas Use Only Braun Juicer Continuous Feed - 220 Volts, WILL NOT WORK IN THE USA"
B000A3FWDC,Jack LaLanne,centrifugal,,['Jack LaLanne Power Juicer Express [Kitchen]'],$99.88,1234629,Jack LaLanne Power Juicer Express [Kitchen]
B000AV3WF4,Aroma Housewares,citrus,White,"['Large, 1 quart serving pitcher', 'Simple, push down activation', 'Convenient power cord storage', 'Easy-to-clean, removable parts', 'Includes 2 sizes of juicing reamers']",$33.46,124811,Aroma Housewares ACJ-181 1-Liter Citrus Juicer
B000CBC84S,BLACK+DECKER,citrus,White,"['Self-reversing for maximum juice extraction', '28-ounce juice capacity -- perfect for sharing your favorite citrus juice', 'Strainer & stirrer separate seeds from juice', 'Easy-pour spout for quick, dripless serving', 'Convenient storage compartment keeps the cord out of the way']",,795164,Black & Decker HJ29 Handy Juicer
B000E46IX0,HealthWise,masticating,Black / Silver,"['Juicing speed: 3 1/2 ounces per minute for most grain grasses, leafy greens, herbs and sprouts.', 'Motor: 91 RPM, torque 130 inch pounds, 115 VAC,50-60 Hz (or 230 VAC 50 Hz)', 'Juicing components are precision machined, cast iron, and full hot dip tin plated.', 'Motor mounted on Stainless Steel chasis. *ITS Certified to NSF/ANSI Standard 8', 'Manufactures Limited Warranty - Commercial Use 1 Year, Home Use 3 Years']",$846.00,647984,Wheateena Workhorse II Commercial Wheatgrass Juicer (Model WH3002)
B000E48LGC,Samson Brands,masticating,IVORY,"['Samson 6-1 produces high quality juice', 'Single auger technology is particularly effective with leafy greens and grasses', ""Great for puree's, apple sauce, baby food, nut butters and much more!"", 'Quick and Easy Cleaning']",$229.00,283205,Samson 6-1 Single Auger Wheatgrass & Multi Purpose Juicer - Model GB9001 - IVORY
B000E48LOY,Champion Juicer,masticating,Black,"['Heavy Duty Juicer for Fruits and Vegetables', 'Includes - Instruction Manual, Juicing Screen, Sieve, Blank Screen, & Tamper', 'Powered by a full 1/3 horsepower, heavy-duty General Electric motor', 'Large 1.75"" Diameter Feed Tube, 1725 RPMs, 540 Watt Motor, 110V 50HZ', '10 Year Limited Manufacturers Warranty (1 Year on cutter blade and screens)']",$265.00,28904,Champion Household Juicer 2000 PLUS G5-NG-853S - BLACK MODEL
B000E4C53M,Champion Juicer,masticating,Black,"['Can be converted for domestic or overseas use.', 'Item Size: 8"" x 11"" x 20.5""', 'Color: Black.']",$277.51,20457,Champion Juicer G5-PG710 - BLACK Commercial Heavy Duty Juicer
B000E7QYJK,Wheetena,masticating,,"['Durable and quiet heavy duty motor with steel gears', 'Continuous pulp expulsion', 'Wheatgrass -Juices 2 1/2 ounces per minute (average)', 'NSF approved for Commerical Use', '1 Year Limited Warranty']",$849.00,1583570,Wheetena Workhorse Electric Wheatgrass Juicer - Super Heavy Duty Wheat Grass / Barley Grass Juicer. Perfect for High Volume Commercial Applications Like a Juice Bar
B000ES8JCE,KRUPS,centrifugal,White,"['Compact design means easy storage and retrieval', 'Automatic pulp ejection feature for easy and safe removal of pulp', 'Safety system prevents the unit from operating if the lid is not locked into position properly', 'Large 44 oz. easy-to-remove pulp container makes it convenient to operate and clean', 'Features large 44 oz. easy-to-remove pulp container makes it convenient to operate and clean, Continuous operation, Powerful 0.25 horsepower motor.']",,1002613,Krups 267-70 Juice Extractor
B000EWJLDG,Hamilton Beach,centrifugal,White,"['Large food chute', 'Powerful 800 watt motor', 'Easy to assemble and store', 'Cleaning brush included']",,642843,"Hamilton Beach 67600 Big Mouth Juice Extractor, White"
B000F1GU80,Waring,citrus,White,"['Citrus bar juicer comes with heavy-duty die-cast base in compact design mounted on vibration-dampening feet for extra-quiet, stable operation', 'Quickly and easily produces large quantities of pure, healthy juice from any citrus fruit.', 'Featured with universal reamer which is useful to juice all citrus fruits from the smallest lemon to the largest grapefruit', 'Easy cleanup, juice bowl and reamer are dishwasher safe and lift off for easy, thorough cleaning', 'Ideal for bars, restaurants, hospitals, cafeterias and hotels. Light to medium duty.']",Too low to display,186037,"Waring Commercial BJ120C Citrus Bar Juicer with Compact Design, 1-Quart"
B000FDTLDO,Breville,centrifugal,Black & Silver,"['2 speeds for soft and hard fruits (13,000 and 6,500 RPMs), Heavy duty 850 watt motor', '3 circular feed tube minimizes preparation and feeding time', 'Free Juice Pitcher with defrother! And Extra large pulp container', 'Easy clean design for hassle free cleaning (dishwasher safe parts)', 'Recipe Book']",$169.99,575705,Breville Juice Fountain Plus Electric Juicer (Black & Silver)
B000FHQJ6C,Hamilton Beach,centrifugal,Silver,"['1.1 horsepower motor has the power to extract juice from the toughest produce', 'Extra-wide, 3-inch chute fits whole fruits and vegetables, eliminating extra prep time', 'Stainless steel cutter/strainer juices quickly', 'High juice spout funnels juice directly into a variety of glass and container sizes', 'Convenient 20-ounce juice container doubles as a serving pitcher']",$73.55,126277,Hamilton Beach 67650H Big Mouth Pro Juice Extractor
B000G0HX6S,Piazza,centrifugal,,['Piazza - Citrus juicer - code 470700'],$54.00,None,PIAZZA - CITRUS JUICER D:13CM C:50CL 470700
B000GFP5NQ,Salton,centrifugal,,[],$97.99,2129708,2-SPEED Juiceman Pro
B000GHD72K,Kenwood,centrifugal,White,"['Easy to work', 'Easy to clean', 'Get the most out of fruits & vegetables', 'Healthy food preparation', 'Delicious recipies']",,1621629,Centrifugal Juice Extractor
B000GHIVO4,BUNN,centrifugal,Silver,"['IMPORTANT NOTE: Please refer to the images to learn the working functinality and troubleshooting', 'Stainless-steel electric juicer produces fresh juice quickly and easily; Extra-large round chute and food pusher; stainless-steel blade', 'Whisper-quiet 3,600 RPM induction motor; patented extraction technology', 'Large-capacity pulp collector; non-drip spout; dishwasher-safe parts for quick cleanup', 'Measures 16 by 12 by 15-1/2 inches; limited lifetime motor warranty']",,126369,Jack Lalanne's JLSS Power Juicer Deluxe Stainless-Steel Electric Juicer
B000H6R2IU,Unknown,citrus,Gray,"['Santos Lever Automatic Citrus Juicer Model n?10C Grey Top', 'For juicing Oranges, Lemons and Limes (IF Grapefruit Juicing is desired see the Santos 70 Evolution Model)', 'Juice ? of a fruit in 5 to 10 seconds, Estimated Throughput - 5 Gallons per hour (depends of fruit and preparation)', 'Parts that juice are all stainless steel, Closed cover operation (less splashing)', ""Conforms to NSF, UL, and CE standards Manufacturer's Limited 1 year warranty""]",$759.95,476436,Santos N10 Lever Style Citrus Juicer with Grey Upper Body
B000HVMI2U,Miracle Exclusives,masticating,,"['New Design Stainless Steel Auger', 'Geared-down Motor for Power & Low Foaming', 'Stainless Steel Housing, Auger & Body', 'Unique Dual Stainless Steel Screen System', 'Wheatgrass Output approximately 2 oz. per minute']",$737.00,531245,Miracle Pro Green Machine Wheat Grass Juicer
B000I80IPQ,Salton,centrifugal,White,"['Automatic pulp extraction', '1/4 Horse power motor, 2 speeds', 'Patented built-in speed control for optimum juice extraction', 'Large feed tube allows for faster juicing Micro mesh screen design', 'Easy clean up - large, detached pulp basket uses produce bag as a liner']",$139.99,1020458,Salton JM210 2 Speed Juiceman Jr.
B000J5336E,Tribest,citrus,White,[],$54.95,423300,CitriStar Juicer by Tribest - New
B000JY80B8,Samson,masticating,Ivory or Black,"['6-in-1 Juicer - Fruit, Vegetable, and Wheatgrass Juicer, Seasoning Mincer or Chopper, Meat and Fish Mincer, Food Mill, and Sesame Oil Extractor (Optional)', '90 Day Unconditional Guarantee - Toll Free Customer Service 1-888-769-5433 Mon-Fri 8am to 4:30pm PST', '10 year warranty on motor - 5 year warranty on other parts', 'Made of U.S. FDA-approved polycarbonate and melamine']",$229.00,710516,Samson  Matstone 6-in-1 Juicer - GB9001
B000K2Q9QC,Alessi,citrus,Silver,"['Dimensions: 8.75""H x 11"" Dia.', 'Stainless steel', 'Thermoplastic white resin']",$209.95,276421,Alessi Electric Citrus Juicer
B000KHPFFI,Omega,masticating,Black,"['Commercial masticating juicer with 1/3-HP single-phase induction motor', 'Dual-stage juicing system; low speed of 80 RPMs; no foaming, clogging, or heat build-up', 'High juice yield; auto pulp-ejection function for continuous juicing; reverse mode', 'Functions as juicer, food processor, pasta extruder, homogenizer, and grinder', 'Ships in Certified Frustration-Free Packaging', 'VOLTAGE: 110V']",$291.19,148558,"Omega J8003 Nutrition Center Single-Gear Commercial Masticating Juicer, White"
B000MDHH06,Breville,centrifugal,Silver,"['Heavy-duty compact juice fountain with centered knife blade assembly', '700-watt motor operates at 14,000 RPM for maximum extraction', 'Extra-large 3-inch centered feed tube; stainless-steel micro-mesh filter', 'Dishwasher-safe parts; custom cleaning brush included', 'Measures 9-1/2 by 8-3/4 by 16 inches; 1-year limited warranty']",$99.95,692,Breville BJE200XL Compact Juice Fountain 700-Watt Juice Extractor
B000NJBMTQ,Koolatron,centrifugal,Stainless,"['700-Watt motor base', 'Metal filter Wide Chute Opening', 'Suction Cups for Sturdy Placement \nDual Speed Selector.', 'Surgical Steel Juicing Blade', 'Juice collector with spout and no-drip cap']",$87.14,437165,"Koolatron KMJ-01 Total Chef Jucin' Power Juicer, Stainless Steel"
B000O9SGOE,Oster,centrifugal,White,"['Powerful 300 watts motor automatically extracts vitamin-rich natural juice from fruits and vegetables.', 'Automatically expels pulp into large capacity/detachable container for continuous juice processing.', 'Stainless steel cutter/strainer. Safety system prevents the unit from operating if the lid is not locked properly into position.', 'Juice flows into the 14-ounce plastic the container or directly into a glass. Optimally sized feed-chute for easy insertion or fruits and vegetables.', 'Cord storage compartment Enjoy the juice of all your favorite fruits and vegetables']",$49.99,931976,Oster 3169 Juicer - Powerful 300 Watt Automatic Vegetable & Fruit Juice Extractor with Safety System
B000P0PKUU,SamsonGreen,masticating,Black,"['Color: Black.', 'Samson Single Gear GB-9001 is a multipurpose juicer .', 'Simple assembly with quick lock style attachments.', 'Juicing Wheatgrass and Hard Vegetables.Included:', 'Samson Multi-Purpose Juicer Motor']",$229.00,281015,Samson 6-1 Single Auger Wheatgrass & Multi Purpose Juicer - Model GB9002 - BLACK
B000PBXJRK,Champion,masticating,Almond,"['Champion Juicer Homogenizing Blank Screen Accessory', 'Fits both the Commercial (G5-PG-710) and Household (G5-NG-853-S) 2000 models', 'This item will fit your juicer ONLY if the serial number is between the serial numbers listed in the below product description. Your serial number is located on the back of the machine near the on/off switch']",$16.95,366340,Champion Commercial or Household Juicer Blank: Almond color
B000PG3D8A,Hello Kitty,citrus,Pink White,"['Makes over 1 Quart of Fresh Juice', '2-way Reverse Juicing/Reaming Action', 'Powerful Motor Makes Juice in Minutes', 'Dishwasher Safe, Detachable Parts']",$40.00,5004443,Hello Kitty Juice Maker
B000Q6CZW4,Juiceman,centrifugal,White,"['700-watt electric juicer with large feed chute and 2 speed settings', 'Stainless-steel permanent-mesh filter and filter basket; safety interlock switch', 'See-through lid; removable pulp container; non-skid rubber feet', 'Juice jug and cleaning brush included; dishwasher-safe parts for quick cleanup', 'Measures approximately 14 by 9-2/3 by 16-2/5 inches']",,148099,Juiceman JM300 Juiceman Jr. 2-Speed Electric Juicer
B000TGSWQY,Miracle,masticating,White,"['White Plastic Wheatgrass Juicer- Miracle MJ550', 'Masticating Auger Speed 90 RPM', 'Sturdy, plastic non-toxic parts - No aluminum parts - Stainless steel screen', 'Good compact machine for wheatgrass and berries', 'Warranty1 Year Limited Manufacturer Warranty']",$192.50,380968,Miracle MJ-550 White Electric Wheatgrass Juicer
B000UMLII6,Toastess,citrus,Stainless,"['Electric juicer with 2 reamers for small- and large-size citrus fruits', 'Starts and stops automatically; stainless-steel filter and spout', 'Anti-drip sealable spout can be flipped up to stop the flow of juice', '4 suction-cup feet; dust cover; built-in cord storage; dishwasher-safe parts', 'Measures approximately 7-1/2 by 6 by 11-1/2 inches']",$49.95,521719,Toastess TCJ-346 Silhouette Stainless-Steel Citrus Juicer
B000VVTZ9A,Waring,centrifugal,White,"['Heavy-duty bar juice extractor comes with quick and easy about 3600 rpm induction motor', 'Includes quality stainless steel extraction cutting disc that separates pulp faster to speed up juice flow', 'Also contains stainless steel extraction basket which is precision balanced for efficient performance', 'Durable polycarbonate motor housing break and scratch resistant housing is durable and wipes clean easily', 'Ideal for bars, restaurants, juice bars and health centers']",$328.50,310987,Waring Commercial 6001C Heavy-Duty Bar Juice Extractor with Compact Design
B000X16Y8I,Mastrad,citrus,Raspberry,"['Use as a traditional citrus juicer or, place the fruit in the basket and use the button to crush them - the filter removes the pulp', 'Squeezes all types of citrus, then dome flips to press berries, melons, grapes, etc..', 'Clear base for measuring and non-slip base with pouring spouts', 'Dishwasher safe']",$29.50,1752114,"Mastrad F33104 Fruit Press/ Juicer with Lid, Raspberry"
B0011YS0PG,Waring,centrifugal,,"['Genuine OEM replacement part', 'Waring manufacturers equipment for the food service industry including blenders, juicers and drink mixers', 'Use genuine OEM parts for safety reliability and performance']",$20.36,48274,Waring 017994 Reamer for Jc3000 And Jc4000 Juicers
